t, intensity
43.56236507,0.871093304
43.56236507,0.856459886
43.6127489,0.838802742
43.6127489,0.831163344
43.61732925,0.847875926
43.65193633,0.823686685
43.65855238,0.804604045
43.65893408,0.814807592
43.68832465,0.785146271
43.68832465,0.777395023
43.70721858,0.762377247
43.70893621,0.794387205
43.71351656,0.769702853
43.7722977,0.754142468
43.84787344,0.742199571
43.9016162,0.729246353
43.91963223,0.717857825
43.99062763,0.698829837
43.99062763,0.691078588
43.99062763,0.68332734
43.99062763,0.675576091
43.99062763,0.667824843
43.99566601,0.652181485
44.01581954,0.660250116
44.02039989,0.70810293
44.04101146,0.642340392
44.04101146,0.632768774
44.04604984,0.616849257
44.06620337,0.624965686
44.09139529,0.59639147
44.09139529,0.588640221
44.09643367,0.56532489
44.10496017,0.606480481
44.1165872,0.581195521
44.1165872,0.57333382
44.14177912,0.557547859
44.14177912,0.549796611
44.14177912,0.542045362
44.14177912,0.534294114
44.1468175,0.518474592
44.16697104,0.526628043
44.2072781,0.509596746
44.21735487,0.500804311
44.24483695,0.491807843
44.35665134,0.479475846
44.39873665,0.447589474
44.40726315,0.465607182
44.41889019,0.455604603
44.42664154,0.437854735
44.4440821,0.428071064
44.4440821,0.420319815
44.4440821,0.412568567
44.4440821,0.389314821
44.46927402,0.404582789
44.46927402,0.396948984
44.46927402,0.381544356
44.49446593,0.362010001
44.49446593,0.354258753
44.49950431,0.331005078
44.51126054,0.371581857
44.51965785,0.346781895
44.51965785,0.339206812
44.54484976,0.313301165
44.54484976,0.305549917
44.54484976,0.29004742
44.54484976,0.274544923
44.55492653,0.322138906
44.57004168,0.297319466
44.57004168,0.282130151
44.57004168,0.26668246
44.57004168,0.258915553
44.57004168,0.251164304
44.57004168,0.243413056
44.57004168,0.235700955
44.57004168,0.227988854
44.59523359,0.211126331
44.59803269,0.219298457
44.60027197,0.20247168
44.62042551,0.191923557
44.65401473,0.178057128
44.71759432,0.16420533
44.80645811,0.15445171
45.14945572,0.135559519
45.14945572,0.12780827
45.17464764,0.120231586
45.17464764,0.111963588
45.17464764,0.104280848
45.17464764,0.096416351
45.17852332,0.145973978
45.19983955,0.088436166
45.19983955,0.080684917
45.20487794,0.072525038
