flux,imi
2959,0.6
2959,0
2960,0.01
2966,0.17
2966,0.18
2969,0.13
2982,0.26
2988,0.04
2997,0.12
2997,0
3001,0
3004,0.71
3005,0.48
3005,0.48
3006,0.04
3007,0.49
3009,0.2
3010,0.01
3012,0.43
3013,0
3014,0.23
3019,0.58
3025,0
3026,0.4
3034,0.24
3043,0.49
3051,0.49
3052,0.2
3052,0.29
3056,0.22
3072,0.01
3073,0
3076,0
3082,0.31
3084,0
3093,0
3093,0.28
3099,0.3
3103,0
3105,0.19
3111,0.17
3113,0.41
3121,0.25
3124,0.12
3126,0.18
3132,0
3133,0
3137,0.56
3138,0.01
3140,0.2
3142,0.16
3146,0.3
3149,0.01
3153,0
3158,0.01
3171,0.2
3179,3
3180,0.55
3181,0.12
3182,0.01
3190,0.01
3190,0.66
3190,1
3192,0.01
3196,1
3196,0.25
3197,0.14
3200,0.53
3205,0
3206,0.34
3210,0.36
3212,0.16
3213,0
3214,0.13
3216,0.3
3225,0.19
3226,0.02
3229,0.2
3238,0.26
3242,0.19
3243,0.69
3260,0.01
3277,0.31
3278,0
3288,0
3303,0
3311,0
3317,0.53
3324,0.01
3326,0.03
3328,0.25
3328,0.48
3332,0.12
3337,0.13
3341,0.01
3342,0.01
3350,0.32
3351,0.26
3354,0.15
3362,0.23
3373,0.22
3380,0
3387,0.25
3395,0.22
3396,0.32
3397,0.33
3404,0
3406,0.01
3410,0
3420,0.28
3422,0
3427,0.01
3431,0.48
3441,0.39
3446,0.37
3447,0.01
3448,0.37
3448,0.01
3448,0.01
3452,0.25
3454,0.2
3459,0.04
3462,0
3472,0.63
3480,0.01
3487,0.42
3499,1
3505,0.23
3525,0.18
3529,0
3530,0.04
3530,0.01
3531,0.03
3531,0.01
3532,0.17
3532,0.89
3533,1
3541,0.36
3546,0.22
3547,0.01
3553,0
3555,0.59
3577,0.01
3579,0.17
3579,0.41
3579,0.01
3582,0.04
3587,0.14
3587,0
3588,0.64
3589,0.01
3591,0.79
3603,0.18
3603,0.02
3610,0.01
3612,0
3614,0
3614,0.01
3618,0.01
3651,0.41
3657,0
3661,0.28
3672,0.01
3672,0
3678,0.44
3694,0.01
3696,0
3696,0.01
3701,0.39
3703,0.04
3721,0.39
3724,0.45
3729,0
3732,0.34
3740,0.01
3742,0
3743,0.8
3744,0
3753,0.18
3762,0.49
3793,0.33
3794,0
3797,0.16
3797,0
3800,0.02
3810,0.27
3825,0
3839,0
3867,0.01
3880,0
3885,0.24
3891,0.08
3895,0.01
3901,0
3910,0.47
3910,0.01
3921,0.01
3928,0.55
3936,0.01
3938,0
3943,0.01
3943,0.16
3945,0
3948,0.56
3949,0.25
3952,0.17
3952,0.76
3952,0.31
3965,0.01
3980,0.03
3980,0.43
3985,0.34
3989,0.34
3996,0.01
4000,0.01
4000,0.01
4000,0
4002,0.41
4034,0.01
4039,0
4045,0.37
4052,0.28
4054,0.17
4055,0.29
4072,0.41
4075,0.28
4077,0.42
4089,0.58
4090,0.29
4094,0.52
4099,0.17
4099,0
4107,0.01
4121,0.17
4128,0.01
4160,0.03
4165,0.01
4169,0.01
4174,0.33
4178,0.01
4182,0.23
4192,0
4200,0.55
4202,0.01
4233,0.21
4237,0
4237,0
4244,0.01
4245,0.3
4248,0.9
4260,0.21
4263,0.41
4269,0.16
4277,0
4278,0.52
4287,0.44
4300,0.04
4305,0.01
4316,0.24
4325,0.26
4332,0
4344,0.25
4359,0
4359,0
4359,0
4401,0.31
4406,0.38
4431,0.2
4451,0
4452,0.01
4471,0.24
4477,0
4499,0.57
4523,0.17
4545,0.01
4554,0
4556,0.01
4560,0
4572,0
4575,0
4613,0.23
4622,0
4623,0.01
4624,0.45
4633,0
4670,0.48
4670,0.02
4675,0.36
4676,0.31
4686,0.3
4693,0.1
4695,0.19
4706,0.01
4767,0.14
4788,0.08
4799,0.46
4802,0.01
4806,0
4827,0
4838,0.12
4852,0.3
4859,0
4863,0.03
4884,0.07
4888,0.21
4915,0.18
4962,0
4968,9
5015,0.01
5047,0.21
5051,0.01
5081,0
5085,0.03
5173,0.25
5207,0.01
5242,0.01
5276,0.02
5279,0.31
5284,0.04
5286,0.27
5295,0.29
5298,0.01
5299,0.35
5321,0.02
5322,0
5403,0
5432,0
5466,0.05
5490,0
